대륙명,국가코드,국가,,,
유럽,XK,코소보,,,
아프리카,GH,가나,,,
아프리카,GA,가봉,,,
미주,GY,가이아나,,,
아프리카,GM,감비아,,,
유럽,GG,건지 섬,,,
미주,GP,과들루프,,,
미주,GT,과테말라,,,
미주,GU,괌,,,
미주,GD,그레나다,,,
유럽,GR,그리스,,,
미주,GL,그린란드,,,
아프리카,GN,기니,,,
아프리카,GW,기니비사우,,,
아프리카,NA,나미비아,,,
오세아니아,NR,나우루,,,
아프리카,NG,나이지리아,,,
오세아니아,AQ,남극,,,
아프리카,SS,남수단공화국,,,
아프리카,ZA,남아프리카 공화국,,,
유럽,NL,네덜란드,,,
유럽,AN,네덜란드령 안틸레스,,,
아시아,NP,네팔,,,
유럽,NO,노르웨이,,,
오세아니아,NF,노퍽 섬,,,
오세아니아,NC,뉴칼레도니아,,,
오세아니아,NZ,뉴질랜드,,,
오세아니아,NU,니우에,,,
아프리카,NE,니제르,,,
미주,NI,니카라과,,,
아시아,KR,대한민국,,,
유럽,DK,덴마크,,,
미주,DO,도미니카공화국,,,
미주,DM,도미니카연방,,,
유럽,DE,독일,,,
아시아,TL,동티모르,,,
아시아,LA,라오스,,,
아프리카,LR,라이베리아,,,
유럽,LV,라트비아,,,
유럽,RU,러시아,,,
중동,LB,레바논,,,
아프리카,LS,레소토,,,
아프리카,RE,레위니옹,,,
유럽,RO,루마니아,,,
유럽,LU,룩셈부르크,,,
아프리카,RW,르완다,,,
중동,LY,리비아,,,
유럽,LT,리투아니아,,,
유럽,LI,리히텐슈타인,,,
아프리카,MG,마다가스카르,,,
미주,MQ,마르티니크,,,
오세아니아,MH,마셜 제도,,,
아프리카,YT,마요트,,,
아시아,MO,마카오,,,
유럽,MK,마케도니아 공화국,,,
아프리카,MW,말라위,,,
아시아,MY,말레이시아,,,
아프리카,ML,말리,,,
유럽,IM,맨 섬,,,
미주,MX,멕시코,,,
유럽,MC,모나코,,,
아프리카,MA,모로코,,,
아프리카,MU,모리셔스,,,
아프리카,MR,모리타니,,,
아프리카,MZ,모잠비크,,,
유럽,ME,몬테네그로,,,
미주,MS,몬트세랫,,,
유럽,MD,몰도바,,,
아시아,MV,몰디브,,,
유럽,MT,몰타,,,
아시아,MN,몽골,,,
미주,US,미국,,,
오세아니아,UM,미국령 군소 제도,,,
미주,VI,미국령 버진아일랜드,,,
아시아,MM,미얀마,,,
오세아니아,FM,미크로네시아,,,
오세아니아,VU,바누아투,,,
중동,BH,바레인,,,
미주,BB,바베이도스,,,
유럽,VA,바티칸 시국,,,
미주,BS,바하마,,,
아시아,BD,방글라데시,,,
미주,BM,버뮤다,,,
아프리카,BJ,베냉,,,
미주,VE,베네수엘라,,,
아시아,VN,베트남,,,
유럽,BE,벨기에,,,
유럽,BY,벨라루스,,,
미주,BZ,벨리즈,,,
유럽,BA,보스니아-헤르체고비나,,,
아프리카,BW,보츠와나,,,
미주,BO,볼리비아,,,
아프리카,BI,부룬디,,,
아프리카,BF,부르키나파소,,,
아프리카,BV,부베 섬,,,
아시아,BT,부탄,,,
오세아니아,MP,북마리아나 제도,,,
유럽,BG,불가리아,,,
미주,BR,브라질,,,
아시아,BN,브루나이,,,
오세아니아,WS,사모아,,,
중동,SA,사우디아라비아,,,
유럽,GS,사우스조지아 사우스샌드위치 제도,,,
유럽,SM,산마리노,,,
아프리카,ST,상투메 프린시페,,,
미주,PM,생피에르 미클롱,,,
아프리카,EH,서사하라,,,
아프리카,SN,세네갈,,,
유럽,RS,세르비아,,,
아프리카,SC,세이셸,,,
미주,LC,세인트루시아,,,
미주,VC,세인트빈센트 그레나딘,,,
미주,KN,세인트키츠 네비스,,,
아프리카,SH,세인트헬레나,,,
아프리카,SO,소말리아,,,
오세아니아,SB,솔로몬 제도,,,
아프리카,SD,수단,,,
미주,SR,수리남,,,
아시아,LK,스리랑카,,,
유럽,SJ,스발바르 얀마옌 제도,,,
아프리카,SZ,스와질란드,,,
유럽,SE,스웨덴,,,
유럽,CH,스위스,,,
유럽,ES,스페인,,,
유럽,SK,슬로바키아,,,
유럽,SI,슬로베니아,,,
아시아,SY,시리아,,,
아프리카,SL,시에라리온,,,
유럽,SX,신트마르턴,,,
아시아,SG,싱가포르,,,
중동,AE,아랍에미리트,,,
미주,AW,아루바,,,
오세아니아,AM,아르메니아,,,
미주,AR,아르헨티나,,,
오세아니아,AS,아메리칸사모아,,,
유럽,IS,아이슬란드,,,
미주,HT,아이티,,,
유럽,IE,아일랜드,,,
아시아,AZ,아제르바이잔,,,
아시아,AF,아프가니스탄,,,
유럽,AD,안도라,,,
유럽,AL,알바니아공화국,,,
아프리카,DZ,알제리,,,
아프리카,AO,앙골라,,,
미주,AG,앤티가 바부다,,,
미주,AI,앵귈라,,,
아프리카,ER,에리트레아,,,
유럽,EE,에스토니아,,,
미주,EC,에콰도르,,,
아프리카,ET,에티오피아,,,
미주,SV,엘살바도르,,,
유럽,GB,영국,,,
미주,VG,영국령 버진아일랜드,,,
아프리카,IO,영국령 인도양 지역,,,
아시아,YE,예멘,,,
아시아,OM,오만,,,
오세아니아,AU,호주,,,
유럽,AT,오스트리아,,,
미주,HN,온두라스,,,
유럽,AX,올란드 제도,,,
중동,JO,요르단,,,
아프리카,UG,우간다,,,
미주,UY,우루과이,,,
아시아,UZ,우즈베키스탄,,,
유럽,UA,우크라이나,,,
오세아니아,WF,왈리스 퓌튀나,,,
중동,IQ,이라크,,,
중동,IR,이란,,,
중동,IL,이스라엘,,,
아프리카,EG,이집트,,,
유럽,IT,이탈리아,,,
아시아,ID,인도네시아,,,
아시아,IN,인도,,,
아시아,JP,일본,,,
미주,JM,자메이카,,,
아프리카,ZM,잠비아,,,
유럽,JE,저지 섬,,,
아프리카,GQ,적도 기니,,,
아시아,KP,북한,,,
오세아니아,GE,조지아,,,
아프리카,CF,중앙아프리카 공화국,,,
아시아,TW,대만,,,
아시아,CN,중국,,,
아프리카,DJ,지부티,,,
유럽,GI,지브롤터,,,
아프리카,ZW,짐바브웨,,,
아프리카,TD,차드,,,
유럽,CZ,체코,,,
미주,CL,칠레,,,
아프리카,CM,카메룬,,,
아프리카,CV,카보베르데,,,
아시아,KZ,카자흐스탄,,,
아시아,QA,카타르,,,
아시아,KH,캄보디아,,,
미주,CA,캐나다,,,
아프리카,KE,케냐,,,
미주,KY,케이맨 제도,,,
아프리카,KM,코모로,,,
미주,CR,코스타리카,,,
오세아니아,CC,코코스 제도,,,
아프리카,CI,코트디부아르,,,
미주,CO,콜롬비아,,,
아프리카,CG,콩고,,,
아프리카,CD,콩고민주공화국,,,
미주,CU,쿠바,,,
