Supplier Name,Invoice Number,Part Number,Cost,Purchase Date
Supplier X,001-1001,2341,$500.00,1/20/23
Supplier X,001-1001,2341,$500.00,1/21/23
Supplier X,001-1001,5467,$750.00,1/22/23
Supplier X,001-1001,5467,$750.00,1/23/23
Supplier Y,50-9501,7009,$250.00,1/30/23
Supplier Y,50-9501,7009,$250.00,1/31/23
Supplier Y,50-9505,6650,$125.00,2/3/23
Supplier Y,50-9505,6650,$125.00,2/4/23
Supplier Z,920-4803,3321,$610.00,2/5/23
Supplier Z,920-4804,3321,$615.00,2/10/23
Supplier Z,920-4805,3321,$615.00,2/17/23
Supplier Z,920-4806,3321,$615.00,2/24/23
