시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
만봉불화박물관,사립,강원도 영월군 김삿갓면 망경대산길135-3,,37.1549958714,128.6086563521,033-372-5009,만봉불화박물관,,,09:00,18:00,09:00,18:00,매주월요일,0,0,0,,,,033-372-5009,만봉불화박물관,2020-01-01,4270000,강원도 영월군
쾌연재도자미술관,사립,강원도 영월군 한반도면 한반도로452,,37.218111,128.3679630736,033-372-8436,쾌연재도자미술관,,,09:00,18:00,09:00,18:00,매주월요일,0,0,0,,,,033-372-8436,쾌연재도자미술관,2020-01-01,4270000,강원도 영월군
세계민속악기박물관,사립,강원도 영월군 남면 연당로123,,37.1905729266,128.4074844432,033-372-5909,세계민속악기박물관,,,09:00,18:00,09:00,18:00,매주월요일,0,0,0,,,,033-372-5909,세계민속악기박물관,2020-01-01,4270000,강원도 영월군
영월아프리카미술박물관,사립,강원도 영월군 김삿갓면 영월동로 1107-1,,37.1318789546,128.5353508629,033-372-3229,영월아프리카미술박물관,,,09:00,18:00,09:00,18:00,매주월요일,0,0,0,,,,033-372-3229,영월아프리카미술박물관,2020-01-01,4270000,강원도 영월군
영월종교미술박물관,사립,강원도 영월군 북면 시루산길122-2,,37.210942,128.4452253034,033-378-0153,영월종교미술박물관,,,09:00,18:00,09:00,18:00,매주월요일,0,0,0,,,,033-378-0153,영월종교미술박물관,2020-01-01,4270000,강원도 영월군
영월미디어기자박물관,사립,강원도 영월군 한반도면 서강로1094,,37.2438244130,128.3565545327,033-372-1094,영월미디어기자박물관,,,09:00,18:00,09:00,18:00,매주월요일,0,0,0,,,,033-372-1094,영월미디어기자박물관,2020-01-01,4270000,강원도 영월군
영월초등교육박물관,사립,강원도 영월군 북면 밤재로 7,,37.252869,128.4321071937,033-375-1223,영월초등교육박물관,,,09:00,18:00,09:00,18:00,매주월요일,0,0,0,,,,033-375-1223,영월초등교육박물관,2020-01-01,4270000,강원도 영월군
인도미술박물관,사립,강원도 영월군 주천면 송학주천로 899-6,,37.2358733895,128.2392084963,033-375-2883,인도미술박물관,,,09:00,18:00,09:00,18:00,매주월요일,0,0,0,,,,033-375-2883,인도미술박물관,2020-01-01,4270000,강원도 영월군
조선민화박물관,사립,강원도 영월군 김삿갓면 김삿갓로 432-10,,37.096332,128.6066208229,033-375-6100,조선민화박물관,,,09:00,18:00,09:00,18:00,매주월요일,0,0,0,,,,033-375-6100,조선민화박물관,2020-01-01,4270000,강원도 영월군
국제현대미술관,사립,강원도 영월군 영월읍 삼옥길31,,37.2084015545,128.5069045643,033-375-2752,국제현대미술관,,,09:00,18:00,09:00,18:00,매주월요일,0,0,0,,,,033-375-2752,국제현대미술관,2020-01-01,4270000,강원도 영월군
묵산미술박물관,사립,강원도 영월군 김삿갓면 김삿갓로 697-6,,37.1151628605,128.603949,033-374-7249,묵산미술박물관,,,09:00,18:00,09:00,18:00,매주월요일,0,0,0,,,,033-374-7249,묵산미술박물관,2020-01-01,4270000,강원도 영월군
영월곤충박물관,사립,강원도 영월군 북면 영월로1229,,37.2117530747,128.4219540801,033-374-5888,영월곤충박물관,,,09:00,18:00,09:00,18:00,매주월요일,0,0,0,,,,033-374-5888,영월곤충박물관,2020-01-01,4270000,강원도 영월군
호야지리박물관,사립,강원도 영월군 수주면 무릉법흥로303,,37.299986,,033-372-8872,호야지리박물관,,,09:00,18:00,09:00,18:00,매주월요일,0,0,0,,,,033-372-8872,호야지리박물관,2020-01-01,4270000,강원도 영월군
