sidoNm,firstCnt,firstTot,secondCnt,secondTot,thirdCnt,thirdTot,fourCnt,fourTot,winCnt,winTot,vrate,wrate,frate
서울특별시,51,8335125,46,8257712,90.5,6089666,29,1273730,11897,763431,89.6%,8.7%,90.5%
부산광역시,12,2879730,15,2851277,88.2,2144269,25,504883,5440,279145,87.4%,9.1%,88.2%
대구광역시,17,2018403,8,1995601,86.9,1407053,5,268092,3592,157529,85.9%,7.2%,86.9%
인천광역시,19,2576250,15,2552022,90.1,1919668,13,410482,3219,210726,89.2%,7.9%,90.1%
광주광역시,5,1262008,3,1250627,90,969717,7,242392,2007,119683,89.2%,9.2%,90%
대전광역시,5,1245648,1,1233508,88.2,910289,2,198974,1842,114703,87.3%,8.7%,88.2%
울산광역시,6,968181,4,958944,88.8,721400,7,139511,1261,68175,88%,6.7%,88.8%
세종특별자치시,5,300849,4,297131,84.5,211547,0,35876,369,23209,83.5%,7.3%,84.5%
경기도,75,11842742,49,11729008,90.1,8726336,51,1752037,16495,971099,89.3%,7.9%,90.1%
강원도,9,1353042,7,1341795,90.3,1066802,6,277654,2966,142800,89.5%,10.1%,90.3%
충청북도,3,1431181,6,1418776,92.1,1109497,2,284944,2564,156838,91.3%,10.7%,92.1%
충청남도,10,1903707,7,1886273,92.4,1482314,5,378027,3925,209425,91.5%,10.9%,92.4%
전라북도,8,1594323,9,1581491,91.4,1286810,7,378779,3736,212310,90.6%,12.9%,91.4%
전라남도,8,1655874,5,1641605,92.6,1365940,2,452297,3934,236196,91.8%,14%,92.6%
경상북도,4,2293684,11,2270009,89.5,1729183,10,407234,6212,238905,88.6%,9.9%,89.5%
경상남도,14,2883348,13,2854326,89.3,2148181,15,499328,5410,240074,88.4%,8%,89.3%
제주특별자치도,6,591507,10,585880,90.3,440057,0,95303,1092,54786,89.4%,9%,90.3%
