일련번호,시도명,시군구명,대피지구명,대피장소명,주소,수용가능인원수,대피소 분류명,해변으로부터거리,내진적용여부,해발높이,경도,위도
587,경상북도,울진군,거일지구1,마을뒷산고지대 4,경상북도 울진군 평해읍 거일리 산159,48,공터,150,,25,129.47490600,36.69918300
585,경상북도,울진군,거일지구1,마을뒷산고지대 2,경상북도 울진군 평해읍 거일리 83-1,48,공터,100,,27,129.47292200,36.70833400
586,경상북도,울진군,거일지구1,마을뒷산고지대 3,경상북도 울진군 평해읍 거일리 산153-1,48,공터,150,,25,129.47466200,36.70104100
583,경상북도,울진군,거일지구2,거일평화교회,경상북도 울진군 평해읍 울진대게로 603-12,48,공터,100,,27,129.47321200,36.70513200
584,경상북도,울진군,거일지구2,마을뒷산고지대 1,경상북도 울진군 평해읍 거일리 192,48,공터,250,,27,129.47386300,36.70375100
598,경상북도,울진군,직산지구1,직산1리 마을회관 뒤 고지대,경상북도 울진군 평해읍 직산리 61-1,70,공터,150,,15,129.47453300,36.73243300
582,경상북도,울진군,"죽변1,2지구",죽변119안전센터,경상북도 울진군 죽변면 후정리 381-6,30,공공건축물,1000,,26,129.41267200,37.05511700
597,경상북도,울진군,직산지구2,직산보건소뒷산,경상북도 울진군 평해읍 직산리 317,70,공터,180,,18,129.46952100,36.72138700
595,경상북도,울진군,직산지구1,해뜨는 바다펜션 뒷산,경상북도 울진군 평해읍 직산리 20-1,84,공터,240,,20,129.47508200,36.73295700
596,경상북도,울진군,직산지구2,직산2리 282번지 밭 일대,경상북도 울진군 평해읍 직산리 288,70,공터,250,,22,129.47029100,36.71971800
594,경상북도,울진군,직산지구1,해뜨는 바다펜션 옆 고지대,경상북도 울진군 평해읍 직산리 28-2,70,공터,180,,18,129.47512200,36.73314200
591,경상북도,울진군,월송지구1,월송초등학교,경상북도 울진군 평해읍 월송길 59,388,학교운동장,600,,15,129.45899500,36.73589400
592,경상북도,울진군,월송지구3,마을뒷산고지대,경상북도 울진군 평해읍 월송리 산18,200,공터,600,,27,129.45822300,36.74132600
593,경상북도,울진군,월송지구2,월송2리마을회관뒷산,경상북도 울진군 평해읍 월송리 산22-6,200,공터,600,,25,129.45951800,36.73927700
604,경상북도,울진군,금음지구1,마을뒤공터,경상북도 울진군 후포면 금음리 114-6,200,공터,160,,15,129.42948700,36.66724000
605,경상북도,울진군,금음지구2,국도옆산마루측구,경상북도 울진군 후포면 금음리 259,300,공터,80,,25,129.43103900,36.66088800
606,경상북도,울진군,금음지구3,구 7번국도,경상북도 울진군 후포면 금음리 385,500,도로변,300,,40,129.43624900,36.67376600
601,경상북도,울진군,후포지구4,선재하이츠빌라옥상,경상북도 울진군 후포면 후포로 121,200,민간건축물,200,,17,129.45399000,36.68176500
602,경상북도,울진군,삼율지구3,보성장여관,경상북도 울진군 후포면 후포삼율로 70,200,민간건축물,250,,15,129.44049400,36.67652100
603,경상북도,울진군,금음지구1,마을뒤고지대(주차장),경상북도 울진군 후포면 금음리 113-1,300,공터,240,,20,129.43127800,36.66809800
600,경상북도,울진군,삼율지구3,남울진청년회의소,경상북도 울진군 후포면 정실2길 104,300,공터,350,,20,129.43562700,36.67757800
599,경상북도,울진군,직산지구2,직산2리마을회관뒷산,경상북도 울진군 평해읍 직산리 산42,70,공터,60,,18,129.47061700,36.72347200
614,경상북도,울진군,삼율지구2,삼영아파트옥상,경상북도 울진군 후포면 울진대게로 24-7,400,민간건축물,150,,20,129.44247300,36.67724700
612,경상북도,울진군,삼율지구1,후포초등학교,경상북도 울진군 후포면 삼율5길 8,9000,학교운동장,350,,18,129.44141900,36.68117100
613,경상북도,울진군,삼율지구1,마을뒤고지대(주차장),경상북도 울진군 후포면 삼율리 356-2,500,공터,220,,19,129.43984100,36.68151500
611,경상북도,울진군,금음지구1,어업무선국송신소,경상북도 울진군 후포면 동해대로 307-18,300,공터,100,,24,129.43467100,36.66954500
608,경상북도,울진군,삼율지구3,7번국도 옆 공장부지,경상북도 울진군 후포면 금음리 28-4,500,공터,200,,30,129.43660500,36.67330300
609,경상북도,울진군,금음지구2,풍경모텔뒷산,경상북도 울진군 후포면 금음리 산155-1,500,공터,250,,24,129.42970200,36.66422000
610,경상북도,울진군,금음지구2,반소골길,경상북도 울진군 후포면 금음리 산259,300,공터,100,,20,129.39872300,36.66552800
620,경상북도,울진군,후포지구3,후포2리뒷산,경상북도 울진군 후포면 후포리 292,400,공터,200,,35,129.45721600,36.68434600
621,경상북도,울진군,후포지구2,후포2리마을고지대,경상북도 울진군 후포면 후포리 361-1,100,공터,280,,25,129.45891200,36.68382700
607,경상북도,울진군,금음지구3,구7번국도,경상북도 울진군 후포면 금음리 392,500,도로변,200,,20,129.42240800,36.64519000
40,부산광역시,서구,송도해수욕장 지구,송도초등학교 운동장,부산 서구 충무대로 25(암남동 313),1200,학교운동장,210,,20,129.01559370,35.07821400
41,부산광역시,서구,한진매립지 지구,송림공원,부산 서구 송도해변로 151(암남동 124-1),1500,공터,250,,11,129.02319740,35.07679300
42,부산광역시,서구,한진매립지 지구,암남동주민센터 주차장,부산 서구 충무대로 83(암남동 88-5),200,공터,370,,22,129.02095000,35.07989800
43,부산광역시,서구,암남공원 지구,암남공원,부산 서구 암남공원로 179-13(암남동 620-38),5000,공터,210,,16,129.02015100,35.06250000
37,부산광역시,서구,송도해수욕장 지구,송도 탑스빌 광장,부산 서구 암남동 261-2,200,도로변,160,,30,129.01840800,35.07822200
38,부산광역시,서구,송도해수욕장 지구,송도공원(식당) 주차장 앞 공터,부산 서구 암남공원로 75(암남동 618-8),250,공터,100,,35,129.01829780,35.07048400
39,부산광역시,서구,송도해수욕장 지구,송도해수욕장 공영주차장,부산 서구 암남공원로 25(암남동 579),1000,공공건축물,360,미적용,23,129.01571190,35.07372200
31,부산광역시,기장군,학리-이동지구,푸른솔유치원 앞 도로,부산 기장군 일광면 이화로 47-10,400,도로변,650,,18,129.23212600,35.27025900
32,부산광역시,남구,용호섶자리지구,동생말 언덕,부산 남구 용호동 산5-4,300,도로변,600,,25,129.11829900,35.12763200
33,부산광역시,사하구,다대1지구,몰운대공터,부산 사하구 다대동 469-2,1000,공터,250,,10,128.96947500,35.04487300
34,부산광역시,사하구,다대1지구,중현초등학교,부산 사하구 다대낙조2길 9,1438,학교운동장,755,,35,128.96651500,35.05072500
35,부산광역시,사하구,다대2지구,BMC아파트 테니스장,부산 사하구 다대2동 113-9,151,공터,818,,40,128.97890500,35.06455700
36,부산광역시,사하구,다대2지구,두송종합사회복지관앞주차장,부산 사하구 다송로 59,300,공터,656,,27,128.98422900,35.06195000
26,부산광역시,기장군,칠암-문동지구,칠암초등학교,부산 기장군 일광면 칠암리 134,300,공공건축물,200,1등급,11,129.25326100,35.29885500
27,부산광역시,기장군,학리-이동지구,이동마을 뒷산,부산 기장군 일광면 이천리 221-4,400,공터,500,,14,129.24201700,35.27344100
28,부산광역시,기장군,학리-이동지구,학리마을 뒷산 도로,부산 기장군 일광면 학리 176,300,공터,300,,23,129.24132900,35.25695500
29,부산광역시,기장군,학리-이동지구,한국유리 출입구 앞 도로,부산 기장군 일광면 일광로 188,80,도로변,200,,14,129.23956500,35.26654200
30,부산광역시,기장군,학리-이동지구,다미원수산 앞 도로,부산 기장군 일광면 일역길 75-13,200,도로변,150,,14,129.23210800,35.26131100
62,울산광역시,남구,장생포해안지구,태영인더스트리사택 앞 주차장,울산광역시 남구 야음장생포동 267-7,200,공터,360,,18,129.37452700,35.50564900
23,부산광역시,기장군,임랑지구,임랑야산(대덕사),부산 기장군 장안읍 임랑리 97-10,350,공터,400,,11,129.25866600,35.31862700
24,부산광역시,기장군,임랑지구,묘관음사 앞 도로,부산 기장군 장안읍 해맞이로 253-38,90,도로변,100,,10,129.26640300,35.32287800
25,부산광역시,기장군,칠암-문동지구,문동마을 뒷산,부산 기장군 일광면 문동리 산25-3,500,공터,600,,42,129.25457800,35.30781100
56,부산광역시,해운대구,송정지구,송정동행정복지센터,부산 해운대구 송정중앙로21번길 20,450,공공건축물,500,적용,7,129.20381770,35.18384333
57,울산광역시,남구,장생포해안지구,고래문화마을,울산광역시 남구 장생포동 232,30000,공터,280,,21,129.37952600,35.50538200
58,울산광역시,남구,장생포해안지구,울산항만공사,울산광역시 남구 매암동 180,100,공공건축물,100,특등급,14,129.38284300,35.50489700
59,울산광역시,남구,장생포해안지구,장생포복지문화센터,울산광역시 남구 야음장생포동 41-4,100,공공건축물,60,2등급,17,129.37757800,35.50288500
60,울산광역시,남구,장생포해안지구,장생포초등학교,울산광역시 남구 야음장생포동 329-1,500,학교운동장,140,,11,129.36825400,35.50348100
