수행기관,사업명,사업구분,사업주요활동내용,인원(명),구군명,전화번호,사업시작일,사업종료일,데이터기준일자
파랑새종합사회복지관,지역아동센터지원,사회서비스형,"지역아동센터 종사자 업무보조, 이용아동 급식보조 및 환경정비활동 등",32,부산광역시 해운대구,051-545-0115,2020-02-01,2020-12-31,2020-12-31
영진종합사회복지관,노노케어,공익활동,"취약노인가정 방문 말벗, 안부확인, 생활실태점검 등",50,부산광역시 해운대구,051-529-0005,2020-01-01,2020-12-31,2020-12-31
영진종합사회복지관,이웃지킴이,공익활동,"홀몸노인 가정방문, 조사",20,부산광역시 해운대구,051-529-0005,2020-01-01,2020-12-31,2020-12-31
영진종합사회복지관,아이환경보듬이,공익활동,유아교육(보육)기관 청소 등 환경관리,20,부산광역시 해운대구,051-529-0005,2020-01-01,2020-12-31,2020-12-31
영진종합사회복지관,여가강사파견,공익활동,"운동, 전통, 취미 등 교육활동",4,부산광역시 해운대구,051-529-0005,2020-01-01,2020-12-31,2020-12-31
영진종합사회복지관,교육강사파견,공익활동,"유아교육기관에서 운동, 전통, 취미 등 교육활동",18,부산광역시 해운대구,051-529-0005,2020-01-01,2020-12-31,2020-12-31
영진종합사회복지관,파트타임보육도우미,공익활동,지역아동센터 가사 및 배식지원,20,부산광역시 해운대구,051-529-0005,2020-01-01,2020-12-31,2020-12-31
부산해운대시니어클럽,아동시설지원사업,사회서비스형,"보육교사 보조 및 시설 환경미화, 아동 인성과 예절 지도 교육",19,부산광역시 해운대구,051-784-9141,2020-02-01,2020-12-31,2020-12-31
부산해운대시니어클럽,노인시설지원사업,사회서비스형,해운대구 재가노인복지센터 요양보호사 보조 및 시설 환경미화 활동,11,부산광역시 해운대구,051-784-9141,2020-02-01,2020-12-31,2020-12-31
부산해운대시니어클럽,소방안전시설설치사업,사회서비스형,"해운대구 취약계층 소방안전시설 설치, 홍보, 전수조사 등",8,부산광역시 해운대구,051-784-9141,2020-02-01,2020-12-31,2020-12-31
부산해운대시니어클럽,시니어 안심생활방역단,사회서비스형,"해운대구 내 버스정류장, 공원 및 체육시설 등 공공시설 방역 및 소독",10,부산광역시 해운대구,051-784-9141,2020-02-01,2020-12-31,2020-12-31
부산해운대시니어클럽,공동작업장사업1호,시장형,"전자제품?자동차 부품조립, 종이가방 제작, 해초샐러드?다시팩 포장",274,부산광역시 해운대구,051-784-9141,2020-01-01,2020-12-31,2020-12-31
