기관명,구분코드,시도명,시군구명,전화번호,운영가능일자
(의)한국필의료재단 한국의원,97,서울,강동구,02-517-1728,20200220
의료법인 신원의료재단 신원의원,97,경기,광명시,1899-1510,20200220
에이치플러스 양지병원,97,서울,관악구,02-1877-8875,20200220
중앙대학교병원,97,서울,동작구,1800-1114,20200220
인제대학교부산백병원,97,부산,부산진구,051-890-6114,20200220
경북대학교병원,97,대구,중구,053-200-5114,20200220
계명대학교동산병원,97,대구,달서구,1577-6622,20200220
영남대학교병원,97,대구,남구,053-623-8001,20200220
칠곡경북대학교병원,97,대구,북구,053-200-2000,20200220
창원경상국립대학교병원,97,경남,창원시 성산구,055-214-2000,20200220
경상국립대학교병원,97,경남,진주시,055-750-8000,20200220
의료법인장원의료재단유투의원,97,서울,송파구,02-910-2100,20200220
티씨엠랩의원,97,경기,성남시 분당구,031-698-2728,20200304
성가롤로병원,97,전남,순천시,061-720-2000,20200304
재단법인대구포교성베네딕도수녀회창원파티마병원,97,경남,창원시 의창구,055-270-1000,20200303
순천향대학교부속부천병원,97,경기,부천시,032-621-5114,20200207
한림대학교동탄성심병원,97,경기,화성시,031-8086-3000,20200207
강원대학교병원,97,강원,춘천시,033-258-2000,20200207
충북대학교병원,97,충북,청주시 서원구,043-269-6114,20200207
단국대학교의과대학부속병원,97,충남,천안시 동남구,041-1588-0063,20200207
전북대학교병원,97,전북,전주시 덕진구,063-250-1114,20200207
한국원자력의학원원자력병원,97,서울,노원구,02-970-2114,20200228
대구파티마병원,97,대구,동구,053-1688-7770,20200228
대구가톨릭대학교병원,97,대구,남구,053-650-3000,20200228
학교법인 을지학원 대전을지대학교병원,97,대전,서구,042-611-3000,20200228
대진의료재단 분당제생병원,97,경기,성남시 분당구,031-779-0114,20200228
인제대학교일산백병원,97,경기,고양시 일산서구,031-910-7114,20200228
한림대학교부속 춘천성심병원,97,강원,춘천시,033-240-5000,20200228
화순전남대학교병원,97,전남,화순군,061-379-7114,20200228
경희대학교병원,97,서울,동대문구,02-958-8114,20200220
성심의료재단강동성심병원,97,서울,강동구,02-2224-2114,20200220
한양대학교병원,97,서울,성동구,02-2290-8114,20200220
의료법인한전의료재단 한일병원,97,서울,도봉구,02-901-3114,20200220
가톨릭관동대학교 국제성모병원,97,인천,서구,032-1600-8291,20200220
가톨릭대학교인천성모병원,97,인천,부평구,032-1544-9004,20200220
인하대학교의과대학부속병원,97,인천,중구,032-890-2114,20200220
조선대학교병원,97,광주,동구,062-220-3321,20200220
학교법인 가톨릭학원 가톨릭대학교 대전성모병원,97,대전,중구,042-220-9114,20200220
동국대학교일산불교병원,97,경기,고양시 일산동구,031-1577-7000,20200220
가톨릭대학교 성빈센트병원,97,경기,수원시 팔달구,031-1577-8588,20200220
아주대학교병원,97,경기,수원시 영통구,031-219-5114,20200220
한림대학교성심병원,97,경기,안양시 동안구,031-380-1500,20200220
한양대학교구리병원,97,경기,구리시,1644-9118,20200220
순천향대학교부속 천안병원,97,충남,천안시 동남구,041-570-2114,20200220
재단법인예수병원유지재단예수병원,97,전북,전주시 완산구,063-230-8114,20200220
원광대학교병원,97,전북,익산시,063-859-1114,20200220
학교법인성균관대학삼성창원병원,97,경남,창원시 마산회원구,055-233-8899,20200220
이화여자대학교의과대학부속서울병원,97,서울,강서구,02-6986-5707,20200309
랩지노믹스진단검사의학과의원,97,경기,성남시 분당구,031-628-0713,20200207
선함의원(에스큐랩SQ Lab),97,경기,용인시 기흥구,031-275-5522,20200207
학교법인가톨릭학원가톨릭대학교서울성모병원,97,서울,서초구,02-1588-1511,20200207
가톨릭대학교 은평성모병원,97,서울,은평구,02-1811-7755,20200207
강북삼성병원,97,서울,종로구,02-2001-2001,20200207
고려대학교의과대학부속구로병원,97,서울,구로구,02-2626-1114,20200207
삼성서울병원,97,서울,강남구,02-3410-2114,20200207
재단법인아산사회복지재단 서울아산병원,97,서울,송파구,02-3010-3114,20200207
서울특별시보라매병원,97,서울,동작구,02-870-2114,20200207
서울특별시서울의료원,97,서울,중랑구,02-2276-7000,20200207
순천향대학교 부속 서울병원,97,서울,용산구,02-709-9114,20200207
의료법인명지의료재단명지병원,97,경기,고양시 덕양구,031-810-5114,20200207
분당서울대학교병원,97,경기,성남시 분당구,031-787-2114,20200207
차의과학대학교분당차병원,97,경기,성남시 분당구,031-780-5000,20200207
강릉아산병원,97,강원,강릉시,033-610-3114,20200207
양산부산대학교병원,97,경남,양산시,055-360-1000,20200207
제주대학교병원,97,제주,제주시,064-717-1114,20200207
제주한라병원,97,제주,제주시,064-740-5000,20200207
건국대학교병원,97,서울,광진구,1588-1533,20200525
바이오지노코리아 진단검사의학과의원,97,서울,성동구,070-4755-9780,20200525
동아대학교병원,97,부산,서구,051-240-2400,20200525
학교법인 건양교육재단 건양대학교병원,97,대전,서구,042-600-9999,20200525
연세대학교 원주세브란스기독병원,97,강원,원주시,033-741-0114,20200525
가톨릭대학교 여의도성모병원,97,서울,영등포구,1661-7575,20200224
국군수도병원,97,경기,성남시 분당구,031-725-6075,20200224
강동경희대학교의대병원,97,서울,강동구,02-440-7114,20200207
노원을지대학교병원,97,서울,노원구,02-970-8000,20200228
가톨릭대학교부천성모병원,97,경기,부천시,032-1577-0675,20200228
재단법인씨젠의료재단 씨젠의원,97,서울,성동구,02-2244-6500,20200207
재단법인씨젠의료재단씨젠부산의원,97,부산,동구,051-1566-6500,20200207
의료법인녹십자의료재단 녹십자의원,97,경기,용인시 기흥구,031-260-9600,20200207
학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),97,서울,성북구,1577-0083,20200207
국립중앙의료원,97,서울,중구,02-2260-7114,20200207
서울대학교병원,97,서울,종로구,1588-5700,20200207
연세대학교의과대학 강남세브란스병원,97,서울,강남구,02-2019-3114,20200207
연세대학교의과대학세브란스병원,97,서울,서대문구,02-2228-0114,20200207
이화여자대학교의과대학부속목동병원,97,서울,양천구,02-2650-5114,20200207
인제대학교 상계백병원,97,서울,노원구,02-950-1114,20200207
한림대학교 강남성심병원,97,서울,영등포구,02-829-5114,20200207
부산대학교병원,97,부산,서구,240-7000,20200207
