,대형마트/유통전문점,슈퍼마켓,편의점,면세점,일반식료품,여행사/자동차임대,항공사,대중교통,숙박,음식점
Jan-18,"84,540,000,000","58,535,000,000","18,918,000,000","5,449,000,000","20,044,000,000","5,131,000,000","16,435,000,000","17,958,000,000","8,574,000,000","143,548,000,000"
Feb-18,"93,120,000,000","62,688,000,000","18,862,000,000","5,068,000,000","26,643,000,000","4,629,000,000","14,080,000,000","17,724,000,000","7,511,000,000","137,602,000,000"
Mar-18,"83,393,000,000","56,556,000,000","19,898,000,000","5,098,000,000","18,754,000,000","4,160,000,000","14,556,000,000","17,241,000,000","6,988,000,000","146,200,000,000"
Apr-18,"86,907,000,000","60,043,000,000","20,956,000,000","5,458,000,000","20,065,000,000","4,318,000,000","14,349,000,000","18,918,000,000","7,277,000,000","154,796,000,000"
May-18,"89,287,000,000","61,623,000,000","22,217,000,000","5,804,000,000","20,991,000,000","4,747,000,000","14,343,000,000","18,275,000,000","8,504,000,000","162,070,000,000"
Jun-18,"86,394,000,000","63,380,000,000","23,653,000,000","5,468,000,000","20,085,000,000","4,578,000,000","14,589,000,000","18,986,000,000","7,774,000,000","157,166,000,000"
Jul-18,"93,022,000,000","64,659,000,000","23,896,000,000","5,301,000,000","19,304,000,000","5,480,000,000","14,956,000,000","18,200,000,000","8,523,000,000","163,279,000,000"
Aug-18,"88,360,000,000","64,455,000,000","24,330,000,000","5,387,000,000","20,481,000,000","4,420,000,000","13,024,000,000","19,205,000,000","11,090,000,000","165,754,000,000"
Sep-18,"99,165,000,000","69,778,000,000","23,910,000,000","5,359,000,000","30,657,000,000","4,734,000,000","10,749,000,000","18,673,000,000","7,810,000,000","155,901,000,000"
Oct-18,"85,960,000,000","60,546,000,000","23,479,000,000","5,398,000,000","20,944,000,000","4,020,000,000","13,370,000,000","18,969,000,000","8,298,000,000","156,452,000,000"
Nov-18,"86,379,000,000","61,493,000,000","22,492,000,000","5,471,000,000","22,086,000,000","3,943,000,000","13,292,000,000","19,317,000,000","7,853,000,000","153,631,000,000"
Dec-18,"88,064,000,000","62,153,000,000","21,787,000,000","5,261,000,000","22,650,000,000","4,717,000,000","13,877,000,000","18,502,000,000","9,118,000,000","167,637,000,000"
Jan-19,"85,699,000,000","63,163,000,000","21,345,000,000","5,855,000,000","24,420,000,000","5,561,000,000","16,257,000,000","18,413,000,000","8,989,000,000","156,787,000,000"
Feb-19,"85,811,000,000","62,376,000,000","21,023,000,000","5,831,000,000","25,305,000,000","4,151,000,000","15,142,000,000","18,135,000,000","8,358,000,000","151,487,000,000"
Mar-19,"84,182,000,000","60,343,000,000","22,206,000,000","5,735,000,000","20,605,000,000","3,861,000,000","14,306,000,000","17,657,000,000","7,480,000,000","159,068,000,000"
Apr-19,"85,043,000,000","63,086,000,000","23,614,000,000","6,147,000,000","21,115,000,000","4,057,000,000","14,866,000,000","20,020,000,000","7,836,000,000","159,777,000,000"
May-19,"90,019,000,000","63,536,000,000","24,966,000,000","6,079,000,000","22,028,000,000","4,207,000,000","14,440,000,000","19,681,000,000","8,320,000,000","168,674,000,000"
Jun-19,"92,561,000,000","57,571,000,000","25,861,000,000","6,488,000,000","21,446,000,000","4,065,000,000","13,975,000,000","19,306,000,000","8,292,000,000","166,707,000,000"
Jul-19,"93,483,000,000","56,389,000,000","26,474,000,000","6,947,000,000","19,859,000,000","4,887,000,000","15,213,000,000","20,039,000,000","8,825,000,000","166,332,000,000"
Aug-19,"93,742,000,000","58,292,000,000","26,413,000,000","6,665,000,000","22,091,000,000","3,862,000,000","11,664,000,000","21,287,000,000","11,369,000,000","173,273,000,000"
Sep-19,"103,350,000,000","58,642,000,000","26,186,000,000","6,698,000,000","28,678,000,000","3,872,000,000","11,234,000,000","18,771,000,000","7,727,000,000","155,380,000,000"
Oct-19,"91,264,000,000","52,582,000,000","25,927,000,000","5,144,000,000","22,554,000,000","3,743,000,000","12,891,000,000","20,376,000,000","8,795,000,000","165,283,000,000"
Nov-19,"95,264,000,000","53,966,000,000","24,799,000,000","5,195,000,000","24,008,000,000","3,779,000,000","13,304,000,000","21,678,000,000","8,071,000,000","162,848,000,000"
Dec-19,"96,364,000,000","52,421,000,000","24,419,000,000","5,367,000,000","24,178,000,000","4,273,000,000","14,423,000,000","21,232,000,000","9,480,000,000","176,551,000,000"
