STATIONNAME,RACKTOCNT,BIKETOCNT,SHARED_RATE,LATITUDE,LONGITUDE,STATIONID,UPDATETIME
102. 망원역 1번출구 앞,15,20,133,37.55564880,126.91062927,ST-4,2023-01-13 11:15:09.581783
103. 망원역 2번출구 앞,14,24,171,37.55495071,126.91083527,ST-5,2023-01-13 11:15:09.581783
104. 합정역 1번출구 앞,13,2,15,37.55062866,126.91498566,ST-6,2023-01-13 11:15:09.581783
105. 합정역 5번출구 앞,5,5,100,37.55000687,126.91482544,ST-7,2023-01-13 11:15:09.581783
106. 합정역 7번출구 앞,12,18,150,37.54864502,126.91282654,ST-8,2023-01-13 11:15:09.581783
107. 신한은행 서교동지점,5,12,240,37.55751038,126.91850281,ST-9,2023-01-13 11:15:09.581783
108. 서교동 사거리,10,3,30,37.55274582,126.91861725,ST-10,2023-01-13 11:15:09.581783
109. 제일빌딩 앞,10,12,120,37.54769135,126.91998291,ST-11,2023-01-13 11:15:09.581783
111. 상수역 2번출구 앞,10,1,10,37.54787064,126.92353058,ST-15,2023-01-13 11:15:09.581783
112. 극동방송국 앞,10,5,50,37.54920197,126.92320251,ST-16,2023-01-13 11:15:09.581783
113. 홍대입구역 2번출구 앞,25,3,12,37.55743790,126.92382050,ST-18,2023-01-13 11:15:09.581783
114. 홍대입구역 8번출구 앞,15,4,27,37.55706024,126.92442322,ST-20,2023-01-13 11:15:09.581783
115. 마스타 빌딩 앞,15,2,13,37.55893326,126.92711639,ST-12,2023-01-13 11:15:09.581783
117. 홍은사거리,23,2,9,37.59115982,126.94132996,ST-17,2023-01-13 11:15:09.581783
118. 광흥창역 2번출구 앞,10,14,140,37.54773331,126.93176270,ST-19,2023-01-13 11:15:09.581783
119. 서강나루 공원,10,13,130,37.54528427,126.93105316,ST-21,2023-01-13 11:15:09.581783
120. 신수동 사거리,5,9,180,37.54524231,126.93411255,ST-22,2023-01-13 11:15:09.581783
121. 마포소방서 앞,15,17,113,37.54976654,126.93317413,ST-23,2023-01-13 11:15:09.581783
122. 신성기사식당 앞,10,16,160,37.54745865,126.93837738,ST-24,2023-01-13 11:15:09.581783
123. 문화촌 공원,20,18,90,37.59432983,126.94738770,ST-25,2023-01-13 11:15:09.581783
124. 서강대 정문 건너편,20,15,75,37.55113983,126.93698883,ST-26,2023-01-13 11:15:09.581783
125. 서강대 남문 옆,15,0,0,37.54948425,126.93894958,ST-27,2023-01-13 11:15:09.581783
126. 서강대 후문 옆,20,7,35,37.55041122,126.94384766,ST-28,2023-01-13 11:15:09.581783
127. 현대벤처빌 앞,9,5,56,37.55352020,126.93695068,ST-29,2023-01-13 11:15:09.581783
128. 신촌역(2호선) 1번출구 옆,20,2,10,37.55549622,126.93634033,ST-30,2023-01-13 11:15:09.581783
129. 신촌역(2호선) 6번출구 옆,10,4,40,37.55505371,126.93756866,ST-31,2023-01-13 11:15:09.581783
