,상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류코드,표준산업분류명,도로명,경도,위도
44,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 시장로20번길,126.725887078314,37.4925581569548
66,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 경원대로,126.689896133894,37.4613131939866
110,훼미리마트가좌현우,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 가정로,126.671807112706,37.4960080886125
144,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 장고개로337번길,126.684387696298,37.4931214236986
153,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 경인로268번길,126.6700299661,37.4616589098123
167,세븐일레븐,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 검단로501번안길,126.662321171696,37.604167289184
190,세븐일레븐,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 간촌로27번길,126.681958987355,37.5514896651711
208,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 석바위로,126.688812213225,37.4599496219082
216,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 옹진군 영흥면 영흥로,126.49434066116,37.2578106793942
243,코리아세븐인천석남새벽점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 가정로,126.672485884862,37.5049358714013
366,보광훼미리마트송현시장길점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 동구 솔빛로,126.633866318547,37.476789036034
477,CU연수원룸점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 연수구 함박로7번길,126.678117471912,37.4253749067582
489,코리아세븐인천송도3호,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 연수구 대암로22번길,126.652118654832,37.4179360858135
580,GS,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 연수구 비류대로529번길,126.693525182052,37.4235819477653
724,엘지옷수선세탁편의점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 연수구 능허대로79번길,126.641589337003,37.4248526311041
729,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 토금중로3번길,126.635050386704,37.4551960970277
796,세븐일레븐,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 강화군 길상면 전등사로,126.491874255887,37.6348359918399
814,라이프마트,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 중구 축항대로86번길,126.602994611623,37.4528842660268
828,세븐일레븐,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 상정로,126.701280897556,37.4807840402333
932,세븐일레븐인천중구희망점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 중구 제물량로,126.633836030239,37.4672738523004
1008,세븐일레븐,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 원적로,126.695666171151,37.5045814279641
1036,GS25부평제일,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 부평대로12번길,126.724123024958,37.4925571377015
1060,세븐일레븐,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 한나루로,126.666981512897,37.4461808740752
1085,CU부평구청역사점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 부평대로,126.716208183935,37.5123210624832
1180,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 신현로23번길,126.670757769756,37.5156476308306
1375,미니스톱,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 남동대로922번길,126.710814217459,37.4648680857818
1403,씨유SK논현제일주유소,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 청능대로,126.710406423253,37.3984029906982
1430,오피앙마트,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 경인로,126.705500459603,37.4655758685357
1580,ZARA스퀘어원점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 연수구 청능대로,126.683608823553,37.4059827608181
1651,세븐일레븐검단금곡초교점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 완정로228번안길,126.651791176285,37.6052998560561
1657,365플러스편의점송도H점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 연수구 컨벤시아대로,126.64442492381,37.3891320617221
1668,씨유인천선학점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 연수구 비류대로,126.70133618244,37.4233346380414
1681,GS25인천원당점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 원당대로840번길,126.694893755027,37.5930350961904
1693,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 남동대로,126.708425002459,37.4243493892501
1694,세븐일레븐,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 신진말로28번길,126.678156270087,37.491231783117
1697,세븐일레븐인천부평노체점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 부흥로,126.721039437897,37.498317420431
1756,CU송도G타워점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 연수구 아트센터대로,126.633780554551,37.395731288484
1836,코리아세븐인천,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 체육관로,126.733615152587,37.5083552415424
1906,ANY25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 굴포로,126.726276621039,37.5115650868126
1930,세븐일레븐,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 구월로,126.721954056687,37.4559156708731
1984,CU함허동천점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 강화군 화도면 해안남로,126.456965338048,37.6108778175829
2015,7편의점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 장고개로,126.689539551504,37.4946834058555
2174,편의점사랑,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 중구 서해대로,126.623640715693,37.4468643983157
2261,지에스25일신초교,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 항동로75번길,126.741909410512,37.483872722079
2264,7편의점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 승학로471번길,126.672902969198,37.5637501743075
2289,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 계양구 봉오대로518번길,126.706940318225,37.5289429986401
2333,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 승학로,126.673445823803,37.5561156520334
2416,GS25만수전원,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 인주대로887번길,126.737970238215,37.4511861578231
2425,세븐일레븐강화후포항점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 강화군 화도면 해안남로2845번길,126.391538877735,37.6402228681106
2484,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 옹진군 북도면 시도로86번길,126.431153919937,37.5445309556412
2495,세븐일레븐인천도림주공점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 논고개로,126.729911500255,37.4197886680833
2605,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 영성로,126.744027642328,37.5200987231379
2772,지에스25청학중앙,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 연수구 청솔로,126.66141252613,37.4276467352947
2817,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 광장로,126.723337286585,37.4895572235053
2881,미니스톱청라딜라이트점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 청라에메랄드로,126.656809511454,37.5321136491221
2918,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 청라에메랄드로41번길,126.65627867949,37.5289089902055
2949,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 고산후로78번길,126.698782625688,37.5907984699451
