store_id,kakao_nickname,kakao_date,kakao_content,kakao_star
17174042,김지아,2022.10.21.,차돌쭈꾸미 새로생겨서 먹어봤는디 정말맛있어요존맛탱구리구리 오늘도 아주 잘먹구갑니다 오징어 좋아허는데 추가도 할수있어서 아주 좋았어요 사장님도 어주 친절하셨어요,5.0
17174042,벨루,2022.10.02.,진짜 맛집 근처 다른 해물찜들 먹다가 가게가 보여서 들어와 봤는데 진짜 맛있네요벌써 지인들과 3번째 방문담에 직원들이랑 회식은 꼭 독도해물찜직원들도 친절해서 기분도 좋은집맛있게 잘먹었습니다,5.0
17174042,오민호,2022.09.12.,처음 방문했는데 생각보다 많이 달라서 당황했습니다 천안본점에는 밑반찬만 6가지 정도 나온다고 하는데 소사벌점은 동치미 그리고 마른김 몇장이 전부였어요 거기다 더 당황스러운점은 해물탕을 시켜서 먹다가 볶음밥을 주문했는데 볶음밥은 해물찜에만 가능하다고 하더라구요 메뉴판 어디에도 그런 내용은 없습니다 적잖이 실망했구요 배달 전문점 인상이 넘 강했어요 차라리 조금 더 걸어서 000 으로 갈걸 하는 후회가 생겼습니다 그곳은 해물탕으로도 볶음밥이 돼거든요   지극히 개이적인 생각입니다,1.0
17174042,신경화,2022.06.06.,지금껏 먹어본 해물찜과는 정말 다르게 너무 맛있어서 먹고 포장까지 해왔습니다새우찜도 맛있었고 예쁜사장님도 친절하시고 잘먹고왔어요,5.0
15509296,김용준 연금마술사최저 5 연금,2019.12.02.,생고기 맛 좋아서 추천합니다,5.0
15549566,앵,2022.11.03.,탕이 진국,4.0
15549566,동동,2022.09.14.,재밌는 경험 우리나라 유일한 당나귀고기집확실히 말고기보다 맛나다희귀한 고기를 다양하게 즐길수있다,5.0
15549566,그린애플,2022.09.04.,2인 의 코스 시켰는데 마지막 전골은 양이 많아서 거의 남겼어요 동 코스로 충분합니다 특수부위 구이 드시려면 보 코스,5.0
15549566,까칠이,2022.05.04.,처음과  많이 달라졌음단품 메뉴 시키면  들은체 만체그 어떤 손님도 귀하거늘  차별을 준다내 친구들도 하나같이  불만들이 많다,1.0
15549566,,2022.02.21.,고기 좋아요 코스 좋아요 정말 좋은데 제가 평점을 낮추려 하는 거는 생각보다 깨끗한 느낌이 없어요 첫 방문이고 낯설어서 그런지 주차공간 부족하고요 딱 식당 앞에만 주차를 4대 정도 할 수 있습니다 참고하시고요 그리고 생각보다 가격대가 강한 편이에요 물론 좋은 재료와 좋은 음식들이 어마어마하게 나옵니다 그저 쉽게 생각하고 가시면 안 된다는 거예요 분위기는 예전에 목동 근처에 신정동인가요 신정네거리역 유명한 개고기집 양천식당이라는 곳이 있었는데 흡사 합니다 규모는 크지 않아요 유명 하신가 봐요 확실히 당나귀 고기를 다루는 솜씨는 제가 잘 모르는데 모두들 인정 하시는 거 같아요 하지만 모든 소품과 모든 환경들이 깨끗한 느낌은 없습니다 그게 좀 아쉽습니다 유명하고 알려진만큼 리모델링도 필요하고 개선할 점도 필요하다고 생각하기 때문에 평점을 좀 낮추고 싶었어요 서비스는 굉장히 좋아요 여자분께서 설명도 잘해주시고 아드님인지 삼촌이 한 명 있는데 서빙하시는 것도 잘 하시고요 사람 좋고 음식도 좋고 다 좋아 근데 분위기가 너무 낙후되어 있어요개고기 좋아하시는 분들은 아시겠지만 딱 그 느낌입니다 보양식 좋아하시는 아저씨들 자리 없어서 미리 미리 예약하고 몰려드는 집 남자들끼리 윗선에 접대하기 좋고 어른들 보양식 권장하기 좋은 집예약 필수,3.0
15549566,롸,2022.01.18.,연초에 귀한분들모시고 다녀왔습니다 하나부터 열까지 모두 만족했고 서비스또한 좋습니다 재방문의사 있습니다,5.0
15549566,점이,2021.12.25.,나귀당귀 의 주문했어요직원분들 친절하시고 맛있고 특히 왜이리 귤샐러드가 맛있는지잘 먹고 가요 감사합니다,5.0
15549566,좋다,2021.12.16.,친절하신사장님 요즘 애키우느라 몸이 허해져있는기분이었는데 한방에 회복함,5.0
15549566,독수리,2021.08.12.,진짜 인정하는곳입니다 맛있는녀석들에 이번에 나오던데 또먹으러 가고싶네요,5.0
15549566,유랑자,2021.06.23.,요즘 몸보신이 좀 필요한것 같아 폭풍검색후 방문 기대감에 부풀어서 갔는데 실망시키지 않는 맛과 친절함 너무 좋은곳이라 다음에 재방예정,5.0
15549566,ㅁ,2021.05.05.,,5.0
15549566,전국네비게이션,2021.04.01.,정말 퀄리티있는 음식들과 소중한 당나귀고기 한번도안와보셨다면 후회할곳,5.0
15549566,carpe diem,2021.01.02.,맛있어요친절하신 사장님정말 좋은 고기합리적인 가격에 만날 수 있는곳이네요정말 아끼지않고 고기를 주시네요ㅜㅠ마지막 전골 또한 최고입니다당나귀고기는 이 곳나귀당귀에서,5.0
15549566,맛집탐방,2020.12.28.,말이필요없죠 요즘같은시기 반드시 먹어봐야할 버킷맛집리스트,5.0
15549566,써니,2020.10.20.,언제 먹어도 맛있는 고기 맛있어요,5.0
15549566,김비누누,2020.07.08.,자주는못가지만 한번간이후로 몇번 오게되네요ㅎ 항상 잘먹고가요,5.0
15549566,렛썬,2020.05.21.,첨 먹어봤는데 전혀 거부감 없습니다 그냥 약간 담백한 소고기 느낌이에요 금가루 술도 신기 ㅋㅋ 개인적으론 구이가 괜찮았지만 육회랑 탕도 맛있었어요 추천합다,5.0
15549566,rainjay,2020.04.29.,믿고가는 음식점 오랜시간 사랑받으시길,5.0
15549566,kim,2020.02.03.,명절전에 먹었었는데 이제야 남기네요 ㅎ 사장님도 완전친절하시고 뭔가 대접받고 몸보신제대로하고왔구나 생각이듭니다 전국베스트맛집,5.0
15549566,김,2019.12.30.,연말에 모처럼 회식했는데 믿고가는 두번째 방문 너무 잘먹었어요 사장님 정신없으실텐데 내년에도 오겠습니다,5.0
15549566,진일태,2019.12.16.,겨울철 독감때문에 고생하고 몸생각좀 해야될거같아서 알아보다가 방문했어요 잘 결정하고온것같아요 금액도 장어나 한우이런것에 비해서 괜찮은편이고 몸에 좋다고 하니 더 기운이 나네요,5.0
15549566,조지아,2019.11.06.,처음이라는후기들이 많은데 다들 만족한거같아서 예약했었습니다 걱정할필요가 없었네요 아주 잘 먹고갑니다ㅎㅎ,5.0
15549566,윰디,2019.10.04.,,5.0
15549566,wwewwe,2019.09.10.,난생처음먹는 음식이라 가족들끼리도 조심스럽게 시켰는데 다들 입이 잘맞아 담백하게 잘먹고 갑니다 어머니두 잘드셔서 다행,5.0
