store_id,naver_nickname,naver_date,naver_content,naver_star
20544673,맛없는건정말못참아,2023.1.8.,친절하세요 무난한 맛이고 라면이 유료라서 아쉬워요,
20544673,냥냥3226,2023.1.27.,좋아요,
20544673,sap,2022.8.23.,제 입맛에 맛있어요,
20544673,사실은 땅따리,2022.8.9.,좋아요,
20544673,냥냥3226,2022.1.9.,좋아요,
20544673,어여쁜수니,2021.10.24.,늘 가는곳 맛있어요 사장님도 친절하세요,5
20544673,내동생일산치킨살인마,2021.12.18.,굿,
20544673,냥냥3226,2021.9.18.,너무 맛있어요,5
20544673,사실은 땅따리,2022.1.9.,너무너무 맛있구여사장님이 너무 친절하세요,
20544673,빠담빠담40,2021.11.20.,굿,
20544673,민자9,2021.11.20.,굿,
20544673,jhj276,2021.8.28.,맛이 없었어요양은 좀 많으나,1
20544673,냥냥3226,2021.9.18.,맛있어요,5
20544673,다섯손가락3263,2021.7.18.,김치가 맛있어요,5
20544673,nae,2021.8.15.,맛있어요,5
20544673,삼나무가로수길,2021.3.14.,맛은 좋은데 양이 항상 문제네요 2인분 먹다가 3인분 시켜봤는데 2인분이랑 내용물이 똑같아요 2인분에 햄사리 추가도 해봤는데 양이 똑같아요 무조건 2인분만 시켜드세요,4
20544673,dana66,2021.4.21.,친절하시고 맛있어요,5
20544673,장구니17,2021.4.24.,굿,3.5
20544673,cck,2021.2.16.,맛있어요양은 좀 작은듯,4
20544673,qkdhdbfks,2021.2.25.,맛있어요,4
20544673,콩이야아아아,2021.1.10.,맛있어요,5
20544673,yj9,2021.1.10.,굿,5
20544673,JKYU,2021.2.2.,좋아요,5
20544673,꽃잔디329,2021.1.18.,좋아요,3
20544673,빨강여우61,2020.12.10.,첫번째,5
20544673,상준상빈맘,2020.11.22.,맛있어요,5
20544673,물고기124,2020.11.4.,맛있어요,4
20544673,삼나무가로수길,2020.6.30.,맛은 좋은데 양이 적네요 주인은 손님응대가 퉁명스럽습니다 ,3
20544673,sooooo31,2020.10.26.,맛있게 먹고 왔습니다,5
20544673,lym,2020.3.13.,굿이요,4
